,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_iter,param_n_clusters,param_n_init,param_tol,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.034085353215535484,0.0005176067352294922,-210.89725841979836,-36.20415018823796,100,3,10,1e-06,"{'n_init': 10, 'tol': 1e-06, 'n_clusters': 3, 'max_iter': 100}",8,-419.8284183673469,-42.07747321428583,-105.71226458024682,-36.918455555556086,-107.15109231180136,-29.616521794871957,0.02161319623805423,0.0003622965194462023,147.73780774078867,5.112175120082304
1,0.021476030349731445,0.00027060508728027344,-210.89725841979836,-36.20415018823796,100,3,10,1e-05,"{'n_init': 10, 'tol': 1e-05, 'n_clusters': 3, 'max_iter': 100}",8,-419.8284183673469,-42.07747321428583,-105.71226458024682,-36.918455555556086,-107.15109231180136,-29.616521794871957,0.004514551784974623,1.304275296262685e-05,147.73780774078867,5.112175120082304
2,0.020336627960205078,0.0002606709798177083,-210.89725841979836,-36.20415018823796,100,3,10,0.0001,"{'n_init': 10, 'tol': 0.0001, 'n_clusters': 3, 'max_iter': 100}",8,-419.8284183673469,-42.07747321428583,-105.71226458024682,-36.918455555556086,-107.15109231180136,-29.616521794871957,0.002532652482158432,3.356728884687881e-06,147.73780774078867,5.112175120082304
3,0.021404027938842773,0.0002700487772623698,-209.29984399358727,-36.20638763610944,100,3,10,0.001,"{'n_init': 10, 'tol': 0.001, 'n_clusters': 3, 'max_iter': 100}",1,-419.8284183673469,-42.07747321428583,-105.71226458024682,-36.918455555556086,-102.35884903316806,-29.62323413848639,0.005980441778926437,5.081293539411475e-06,148.8724774649847,5.1092920762548735
4,0.01607402165730794,0.0002606709798177083,-209.98847462213234,-36.20572070105852,100,3,10,0.01,"{'n_init': 10, 'tol': 0.01, 'n_clusters': 3, 'max_iter': 100}",5,-419.8284183673469,-42.07747321428583,-105.71226458024682,-36.918455555556086,-104.42474091880325,-29.621233333333628,0.0019684438676766955,1.6556315943399795e-06,148.38017819673178,5.110151414753957
5,0.014176289240519205,0.00026734670003255207,-210.89725841979836,-36.21432424737754,100,3,10,0.1,"{'n_init': 10, 'tol': 0.1, 'n_clusters': 3, 'max_iter': 100}",8,-419.8284183673469,-42.10799539170456,-105.71226458024682,-36.918455555556086,-107.15109231180136,-29.616521794871957,0.0010833763029163331,2.08152148782552e-06,147.73780774078867,5.123870856390993
6,0.2051562468210856,0.00027815500895182293,-210.89725841979836,-36.20415018823796,100,3,100,1e-06,"{'n_init': 100, 'tol': 1e-06, 'n_clusters': 3, 'max_iter': 100}",8,-419.8284183673469,-42.07747321428583,-105.71226458024682,-36.918455555556086,-107.15109231180136,-29.616521794871957,0.031544479934475955,1.6556315943399795e-06,147.73780774078867,5.112175120082304
7,0.21747199694315592,0.0003056526184082031,-210.89725841979836,-36.20415018823796,100,3,100,1e-05,"{'n_init': 100, 'tol': 1e-05, 'n_clusters': 3, 'max_iter': 100}",8,-419.8284183673469,-42.07747321428583,-105.71226458024682,-36.918455555556086,-107.15109231180136,-29.616521794871957,0.02914859526168966,3.568375650200906e-05,147.73780774078867,5.112175120082304
8,0.20775238672892252,0.0002776781717936198,-210.89725841979836,-36.20415018823796,100,3,100,0.0001,"{'n_init': 100, 'tol': 0.0001, 'n_clusters': 3, 'max_iter': 100}",8,-419.8284183673469,-42.07747321428583,-105.71226458024682,-36.918455555556086,-107.15109231180136,-29.616521794871957,0.027440189410645858,3.339751782329988e-06,147.73780774078867,5.112175120082304
9,0.21235227584838867,0.0002857049306233724,-210.89725841979836,-36.20415018823796,100,3,100,0.001,"{'n_init': 100, 'tol': 0.001, 'n_clusters': 3, 'max_iter': 100}",8,-419.8284183673469,-42.07747321428583,-105.71226458024682,-36.918455555556086,-107.15109231180136,-29.616521794871957,0.0251325652079015,8.801776182785628e-06,147.73780774078867,5.112175120082304
10,0.17375961939493814,0.000284115473429362,-210.89725841979836,-36.20415018823796,100,3,100,0.01,"{'n_init': 100, 'tol': 0.01, 'n_clusters': 3, 'max_iter': 100}",8,-419.8284183673469,-42.07747321428583,-105.71226458024682,-36.918455555556086,-107.15109231180136,-29.616521794871957,0.024239370205693177,1.1378226769721402e-05,147.73780774078867,5.112175120082304
11,0.14372626940409342,0.00036334991455078125,-210.89725841979836,-36.20415018823796,100,3,100,0.1,"{'n_init': 100, 'tol': 0.1, 'n_clusters': 3, 'max_iter': 100}",8,-419.8284183673469,-42.07747321428583,-105.71226458024682,-36.918455555556086,-107.15109231180136,-29.616521794871957,0.010323071661360128,0.00012138432859819508,147.73780774078867,5.112175120082304
12,2.1467860539754233,0.0002783934275309245,-210.89725841979836,-36.20415018823796,100,3,1000,1e-06,"{'n_init': 1000, 'tol': 1e-06, 'n_clusters': 3, 'max_iter': 100}",8,-419.8284183673469,-42.07747321428583,-105.71226458024682,-36.918455555556086,-107.15109231180136,-29.616521794871957,0.3144599554661359,1.9106571324938627e-06,147.73780774078867,5.112175120082304
13,2.1701409816741943,0.0002773602803548177,-210.89725841979836,-36.20415018823796,100,3,1000,1e-05,"{'n_init': 1000, 'tol': 1e-05, 'n_clusters': 3, 'max_iter': 100}",8,-419.8284183673469,-42.07747321428583,-105.71226458024682,-36.918455555556086,-107.15109231180136,-29.616521794871957,0.3197446775191035,4.49566384116203e-07,147.73780774078867,5.112175120082304
