,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split10_test_score,split10_train_score,split11_test_score,split11_train_score,split12_test_score,split12_train_score,split13_test_score,split13_train_score,split14_test_score,split14_train_score,split15_test_score,split15_train_score,split16_test_score,split16_train_score,split17_test_score,split17_train_score,split18_test_score,split18_train_score,split19_test_score,split19_train_score,split1_test_score,split1_train_score,split20_test_score,split20_train_score,split21_test_score,split21_train_score,split22_test_score,split22_train_score,split23_test_score,split23_train_score,split24_test_score,split24_train_score,split25_test_score,split25_train_score,split26_test_score,split26_train_score,split27_test_score,split27_train_score,split28_test_score,split28_train_score,split29_test_score,split29_train_score,split2_test_score,split2_train_score,split30_test_score,split30_train_score,split31_test_score,split31_train_score,split32_test_score,split32_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
152,0.009190523263179895,0.0005957285563151041,0.9466666666666667,0.9933347076204219,3,3,rbf,"{'C': 3, 'gamma': 3, 'kernel': 'rbf'}",101,1.0,0.9930555555555556,0.8333333333333334,0.9930555555555556,0.8333333333333334,0.9930555555555556,1.0,0.9930555555555556,0.8333333333333334,0.9930555555555556,1.0,0.9930555555555556,1.0,0.9930555555555556,0.6666666666666666,1.0,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9930555555555556,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9931972789115646,0.6666666666666666,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9930555555555556,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9931972789115646,0.8333333333333334,0.9930555555555556,1.0,0.9930555555555556,1.0,0.9930555555555556,1.0,0.9930555555555556,1.0,0.9930555555555556,1.0,0.9930555555555556,0.8333333333333334,0.9930555555555556,0.002558790926878838,0.00013734379706735396,0.09683892697555965,0.00118033281016298
153,0.011723987983934807,0.0006893259106260357,0.9533333333333334,0.9933347076204219,3,4,rbf,"{'C': 3, 'gamma': 4, 'kernel': 'rbf'}",43,1.0,0.9930555555555556,0.8333333333333334,0.9930555555555556,0.8333333333333334,0.9930555555555556,1.0,0.9930555555555556,0.8333333333333334,0.9930555555555556,1.0,0.9930555555555556,1.0,0.9930555555555556,0.6666666666666666,1.0,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9930555555555556,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9931972789115646,0.6666666666666666,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9930555555555556,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9930555555555556,1.0,0.9930555555555556,1.0,0.9930555555555556,1.0,0.9930555555555556,1.0,0.9930555555555556,1.0,0.9930555555555556,0.8333333333333334,0.9930555555555556,0.0029443644712610923,0.0007384449398219539,0.09451631252505216,0.00118033281016298
154,0.012693007787068685,0.0009737953995213364,0.9533333333333334,0.9941678691678693,3,5,rbf,"{'C': 3, 'gamma': 5, 'kernel': 'rbf'}",43,1.0,0.9930555555555556,0.8333333333333334,1.0,0.8333333333333334,0.9930555555555556,1.0,0.9930555555555556,0.8333333333333334,0.9930555555555556,1.0,0.9930555555555556,1.0,0.9930555555555556,0.6666666666666666,1.0,1.0,1.0,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9930555555555556,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9931972789115646,0.6666666666666666,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,0.9930555555555556,1.0,0.9931972789115646,1.0,0.9931972789115646,1.0,1.0,1.0,0.9930555555555556,1.0,0.9930555555555556,1.0,0.9930555555555556,1.0,0.9930555555555556,1.0,0.9930555555555556,1.0,0.9930555555555556,0.8333333333333334,1.0,0.0023074275975486515,0.0017967906149908325,0.09451631252505216,0.002465389319948643
155,0.013404073137225527,0.0007160649155125474,0.9533333333333334,1.0,3,6,rbf,"{'C': 3, 'gamma': 6, 'kernel': 'rbf'}",43,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.0023028244337947768,0.0007593903343200884,0.09451631252505216,0.0
156,0.014992200967037317,0.0007091869007457386,0.9466666666666667,1.0,3,7,rbf,"{'C': 3, 'gamma': 7, 'kernel': 'rbf'}",101,1.0,1.0,0.8333333333333334,1.0,0.6666666666666666,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.003591546501363834,0.0005283397838649638,0.10770329614269009,0.0
157,0.014312541846073034,0.0005890239368785511,0.9466666666666667,1.0,3,8,rbf,"{'C': 3, 'gamma': 8, 'kernel': 'rbf'}",101,1.0,1.0,0.8333333333333334,1.0,0.6666666666666666,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.0023824524511072078,7.5052858927743e-05,0.10770329614269009,0.0
158,0.017319195198290276,0.0007242217208399917,0.94,1.0,3,9,rbf,"{'C': 3, 'gamma': 9, 'kernel': 'rbf'}",146,1.0,1.0,0.8333333333333334,1.0,0.6666666666666666,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,1.0,0.004976128936172262,0.0002668655551046002,0.10934146311237816,0.0
159,0.018115188136245266,0.0009470636194402522,0.9333333333333333,1.0,3,10,rbf,"{'C': 3, 'gamma': 10, 'kernel': 'rbf'}",163,1.0,1.0,0.8333333333333334,1.0,0.6666666666666666,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.8333333333333334,1.0,0.004385212823511301,0.0008620181773412256,0.12018504251546633,0.0
160,0.018299138907230263,0.0007406653779925722,0.6333333333333333,1.0,3,100,rbf,"{'C': 3, 'gamma': 100, 'kernel': 'rbf'}",289,0.6666666666666666,1.0,0.5,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.5,1.0,0.8333333333333334,1.0,0.5,1.0,0.5,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.8333333333333334,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.8333333333333334,1.0,0.5,1.0,0.003946847738836968,0.00017236114843054848,0.1855921454276674,0.0
161,0.019211147770737156,0.0008722290848240708,0.36666666666666664,1.0,3,1000,rbf,"{'C': 3, 'gamma': 1000, 'kernel': 'rbf'}",307,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0050105949039774425,0.0008646014323016465,0.0881917103688197,0.0
