,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_covariance_type,param_max_iter,param_n_components,param_reg_covar,param_tol,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.04893930753072103,0.0005100568135579427,-40.475947999698356,-0.6671155098689906,full,100,3,1e-06,1e-06,"{'max_iter': 100, 'covariance_type': 'full', 'tol': 1e-06, 'reg_covar': 1e-06, 'n_components': 3}",405,-89.66278199779212,-1.1610409947132938,-9.884965682378782,-0.6220351143386573,-21.880096318924156,-0.21827042055502063,0.022461044686480452,0.00016406551623289884,35.12339456652761,0.3862022530752149
1,0.029364267985026043,0.0002856254577636719,-43.58295267468725,-0.6755118771361476,full,100,3,1e-06,1e-05,"{'max_iter': 100, 'covariance_type': 'full', 'tol': 1e-05, 'reg_covar': 1e-06, 'n_components': 3}",420,-100.437687209633,-1.125053030396166,-8.480447384803945,-0.6831938451625652,-21.830723429624786,-0.21828875584971144,0.016566696461121393,8.094536067016115e-06,40.570129380268554,0.3702248162697982
2,0.029249032338460285,0.00029158592224121094,-40.35580273655515,-0.6672240777270649,full,100,3,1e-06,0.0001,"{'max_iter': 100, 'covariance_type': 'full', 'tol': 0.0001, 'reg_covar': 1e-06, 'n_components': 3}",400,-89.56049794909023,-1.1611791664012103,-9.884965682378782,-0.6220351143386573,-21.62194457819641,-0.21845795244132737,0.012588396451757758,4.989731201280677e-06,35.12136758555085,0.3861885149522946
3,0.012035369873046875,0.0002773602803548177,-40.71673782605324,-0.7111534286005657,full,100,3,1e-06,0.001,"{'max_iter': 100, 'covariance_type': 'full', 'tol': 0.001, 'reg_covar': 1e-06, 'n_components': 3}",407,-90.41325459307023,-1.1651522000740469,-10.890859418811294,-0.7483972879952984,-20.846099466278215,-0.21991079773235245,0.0023748943079002992,1.9692598491293376e-06,35.374986786159816,0.38679077546065666
4,0.007249037424723308,0.00029126803080240887,-30.39625985422087,-0.7257048415820154,full,100,3,1e-06,0.01,"{'max_iter': 100, 'covariance_type': 'full', 'tol': 0.01, 'reg_covar': 1e-06, 'n_components': 3}",374,-60.613485878972426,-1.2926398544337323,-9.829178412872727,-0.6640927761481343,-20.746115270817462,-0.22038189416417966,0.0014576947715442756,1.2349274345811536e-05,21.82667235384695,0.439910080429798
5,0.004925966262817383,0.00027871131896972656,-30.013809802519535,-0.7664210957587372,full,100,3,1e-06,0.1,"{'max_iter': 100, 'covariance_type': 'full', 'tol': 0.1, 'reg_covar': 1e-06, 'n_components': 3}",346,-60.45427644306131,-1.3118183560496006,-11.035721335062524,-0.7531683663552016,-18.55143162943477,-0.2342765648714098,0.000644517905185268,2.4853540692507252e-06,21.742247388861557,0.44000439699421073
6,0.0399786631266276,0.00028173128763834637,-43.785273593261046,-0.6551082583945692,full,100,3,1e-05,1e-06,"{'max_iter': 100, 'covariance_type': 'full', 'tol': 1e-06, 'reg_covar': 1e-05, 'n_components': 3}",422,-99.61765257936985,-1.125018336585199,-9.883298516075843,-0.6220354724985401,-21.854869684337444,-0.218270966099969,0.018344442243114118,5.282405013365385e-06,39.78082064257893,0.3709160330368255
7,0.03513034184773763,0.000398715337117513,-44.01950231624309,-0.6551257544975126,full,100,3,1e-05,1e-05,"{'max_iter': 100, 'covariance_type': 'full', 'tol': 1e-05, 'reg_covar': 1e-05, 'n_components': 3}",428,-100.36587700975349,-1.1250545599489135,-9.883229502942829,-0.6220354861530383,-21.809400436032938,-0.21828721739058632,0.018173386279571824,4.405277462066202e-05,40.1392895146175,0.3709249499803652
8,0.02693033218383789,0.0002949237823486328,-44.359102350107364,-0.6552706715424792,full,100,3,1e-05,0.0001,"{'max_iter': 100, 'covariance_type': 'full', 'tol': 0.0001, 'reg_covar': 1e-05, 'n_components': 3}",432,-101.62730177097872,-1.125267053337892,-9.883298516075843,-0.6220354724985401,-21.566706763267522,-0.21850948879100549,0.008148792797460065,4.86669886665181e-06,40.774669471369556,0.3709274448885908
9,0.019373575846354168,0.0003420511881510417,-41.79280718763446,-0.695062762151208,full,100,3,1e-05,0.001,"{'max_iter': 100, 'covariance_type': 'full', 'tol': 0.001, 'reg_covar': 1e-05, 'n_components': 3}",418,-101.97479420298225,-1.1403962099926281,-10.887923463715012,-0.7484029430653092,-12.515703896206123,-0.19638913339568656,0.00830827815754114,1.2082488630469012e-05,42.56027951130582,0.38723052681078557
10,0.00740512212117513,0.00027489662170410156,-41.09214786912495,-0.6902471852804234,full,100,3,1e-05,0.01,"{'max_iter': 100, 'covariance_type': 'full', 'tol': 0.01, 'reg_covar': 1e-05, 'n_components': 3}",413,-92.72305429289425,-1.1862373910715385,-9.827546170405268,-0.6641014215232848,-20.725843144075323,-0.22040274324644715,0.0014378131028619985,0.0,36.77867219677362,0.3947335324466263
11,0.0051390329996744795,0.0002837181091308594,-29.569747161509678,-0.7459872492334064,full,100,3,1e-05,0.1,"{'max_iter': 100, 'covariance_type': 'full', 'tol': 0.1, 'reg_covar': 1e-05, 'n_components': 3}",337,-60.44461023264662,-1.3118263952612323,-9.728127607997823,-0.6918363643067029,-18.536503643884597,-0.23429898813228434,0.00043318192546034934,2.9394216551632767e-06,22.12599902593459,0.4415620507790249
