,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_degree,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.0012247562408447266,0.00040721893310546875,0.98,0.989998019409784,1,,,linear,"{'kernel': 'linear', 'C': 1}",2,1.0,0.9797979797979798,0.9607843137254902,1.0,0.9791666666666666,0.9901960784313726,0.00010096700765155856,5.524627165983444e-05,0.016179144164088305,0.008248629202994184
1,0.001169125239054362,0.00034228960673014325,0.9733333333333334,0.9799960388195682,10,,,linear,"{'kernel': 'linear', 'C': 10}",3,1.0,0.9595959595959596,0.9215686274509803,1.0,1.0,0.9803921568627451,2.3567153620102834e-05,3.1709571430301674e-06,0.03715362912102594,0.01649725840598837
2,0.0014899571736653645,0.00034697850545247394,0.9666666666666667,0.9833630421865717,100,,,linear,"{'kernel': 'linear', 'C': 100}",7,1.0,0.9696969696969697,0.9215686274509803,1.0,0.9791666666666666,0.9803921568627451,0.0002129897252695012,4.9605326761650195e-06,0.03345565790343444,0.012548254356472291
3,0.003972053527832031,0.0003871917724609375,0.9733333333333334,0.9867300455535749,1000,,,linear,"{'kernel': 'linear', 'C': 1000}",3,1.0,0.9797979797979798,0.9215686274509803,1.0,1.0,0.9803921568627451,0.003459036514069806,6.284760777437838e-05,0.03715362912102594,0.00938640967405253
4,0.003112634023030599,0.00048065185546875,0.9133333333333333,0.9202812438106557,1,,0.001,rbf,"{'gamma': 0.001, 'kernel': 'rbf', 'C': 1}",11,0.9019607843137255,0.9191919191919192,0.9019607843137255,0.9494949494949495,0.9375,0.8921568627450981,0.00013987679365699292,2.8495425784156228e-05,0.016578196563775845,0.023420845688219862
5,0.0030830701192220054,0.0006745656331380209,0.9133333333333333,0.9202812438106557,1,,0.0001,rbf,"{'gamma': 0.0001, 'kernel': 'rbf', 'C': 1}",11,0.9019607843137255,0.9191919191919192,0.9019607843137255,0.9494949494949495,0.9375,0.8921568627450981,0.00026942427038640824,0.00024033170942049404,0.016578196563775845,0.023420845688219862
6,0.00215760866800944,0.00043733914693196613,0.9466666666666667,0.9402852049910874,10,,0.001,rbf,"{'gamma': 0.001, 'kernel': 'rbf', 'C': 10}",9,0.9411764705882353,0.9393939393939394,0.9215686274509803,0.9696969696969697,0.9791666666666666,0.9117647058823529,7.992117317971586e-05,1.1142650432588409e-05,0.02371536001526426,0.023659142890153965
7,0.002941608428955078,0.0004583994547526042,0.9133333333333333,0.9202812438106557,10,,0.0001,rbf,"{'gamma': 0.0001, 'kernel': 'rbf', 'C': 10}",11,0.9019607843137255,0.9191919191919192,0.9019607843137255,0.9494949494949495,0.9375,0.8921568627450981,6.62068547116324e-05,3.0178765529072324e-06,0.016578196563775845,0.023420845688219862
8,0.0014599959055582683,0.0003933906555175781,0.9733333333333334,0.97346009110715,100,,0.001,rbf,"{'gamma': 0.001, 'kernel': 'rbf', 'C': 100}",3,0.9803921568627451,0.9696969696969697,0.9607843137254902,0.98989898989899,0.9791666666666666,0.9607843137254902,4.032838499994419e-05,8.93566201762065e-06,0.009020673423841885,0.012180227262049363
9,0.0020993550618489585,0.000438690185546875,0.9466666666666667,0.9402852049910874,100,,0.0001,rbf,"{'gamma': 0.0001, 'kernel': 'rbf', 'C': 100}",9,0.9411764705882353,0.9393939393939394,0.9215686274509803,0.9696969696969697,0.9791666666666666,0.9117647058823529,4.089988706716335e-05,2.4853540692507252e-06,0.02371536001526426,0.023659142890153965
10,0.001298983891805013,0.00036032994588216144,0.9866666666666667,0.9866310160427808,1000,,0.001,rbf,"{'gamma': 0.001, 'kernel': 'rbf', 'C': 1000}",1,1.0,0.9696969696969697,0.9607843137254902,1.0,1.0,0.9901960784313726,5.209735405972308e-05,8.999753104459167e-06,0.018576814560512946,0.012625388806224458
11,0.0018089612325032551,0.0005354086558024088,0.9733333333333334,0.97346009110715,1000,,0.0001,rbf,"{'gamma': 0.0001, 'kernel': 'rbf', 'C': 1000}",3,0.9803921568627451,0.9696969696969697,0.9607843137254902,0.98989898989899,0.9791666666666666,0.9607843137254902,0.0005412279010358676,0.00021601699842581083,0.009020673423841885,0.012180227262049363
12,0.0022319157918294272,0.0004049936930338542,0.86,0.86660724896019,1,2,0.001,poly,"{'gamma': 0.001, 'degree': 2, 'kernel': 'poly', 'C': 1}",15,0.8627450980392157,0.8686868686868687,0.8627450980392157,0.8585858585858586,0.8541666666666666,0.8725490196078431,1.9184754916034315e-05,2.9156901562760897e-06,0.004001633653325244,0.005887052464924498
13,0.0021980603535970054,0.0004036426544189453,0.86,0.86660724896019,1,2,0.0001,poly,"{'gamma': 0.0001, 'degree': 2, 'kernel': 'poly', 'C': 1}",15,0.8627450980392157,0.8686868686868687,0.8627450980392157,0.8585858585858586,0.8541666666666666,0.8725490196078431,4.891565812482887e-05,2.0509541671377722e-06,0.004001633653325244,0.005887052464924498
14,0.002263307571411133,0.00041635831197102863,0.76,0.7702515349574174,1,3,0.001,poly,"{'gamma': 0.001, 'degree': 3, 'kernel': 'poly', 'C': 1}",22,0.7254901960784313,0.7575757575757576,0.803921568627451,0.8080808080808081,0.75,0.7450980392156863,6.0620551285237335e-05,1.685012051215976e-05,0.033057683789345274,0.027230054384220215
15,0.0024727185567220054,0.0005776087443033854,0.76,0.7702515349574174,1,3,0.0001,poly,"{'gamma': 0.0001, 'degree': 3, 'kernel': 'poly', 'C': 1}",22,0.7254901960784313,0.7575757575757576,0.803921568627451,0.8080808080808081,0.75,0.7450980392156863,0.0003382989280837726,0.00024282768094250522,0.033057683789345274,0.027230054384220215
16,0.0023043950398763022,0.0004169940948486328,0.64,0.6631016042780749,1,4,0.001,poly,"{'gamma': 0.001, 'degree': 4, 'kernel': 'poly', 'C': 1}",29,0.6470588235294118,0.6363636363636364,0.7254901960784313,0.6666666666666666,0.5416666666666666,0.6862745098039216,5.823869631488629e-05,5.939765593546166e-06,0.07480694106413222,0.020531375571207367
