,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_leaf_size,param_n_neighbors,param_weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.0006342728932698568,0.0012861092885335286,0.9666666666666667,1.0,10,1,uniform,"{'weights': 'uniform', 'n_neighbors': 1, 'leaf_size': 10}",67,0.9803921568627451,1.0,0.9215686274509803,1.0,1.0,1.0,0.00012433924480235856,0.00030052358997864165,0.033333333333333354,0.0
1,0.0005119641621907552,0.0009272893269856771,0.9666666666666667,1.0,10,1,distance,"{'weights': 'distance', 'n_neighbors': 1, 'leaf_size': 10}",67,0.9803921568627451,1.0,0.9215686274509803,1.0,1.0,1.0,2.1119753593859267e-05,4.733928154333727e-05,0.033333333333333354,0.0
2,0.0006383260091145834,0.0009627342224121094,0.9533333333333334,0.9767280649633592,10,2,uniform,"{'weights': 'uniform', 'n_neighbors': 2, 'leaf_size': 10}",88,0.9607843137254902,0.9696969696969697,0.9411764705882353,0.98989898989899,0.9583333333333334,0.9705882352941176,0.00022896761192059032,0.00013042796544931944,0.008782037520219117,0.009320355370055428
3,0.00047508875528971356,0.0009232362111409506,0.9666666666666667,1.0,10,2,distance,"{'weights': 'distance', 'n_neighbors': 2, 'leaf_size': 10}",67,0.9803921568627451,1.0,0.9215686274509803,1.0,1.0,1.0,7.867411722033553e-07,4.0077178982581214e-05,0.033333333333333354,0.0
4,0.0006553332010904948,0.001089016596476237,0.98,0.9634581105169341,10,3,uniform,"{'weights': 'uniform', 'n_neighbors': 3, 'leaf_size': 10}",10,0.9803921568627451,0.9494949494949495,0.9607843137254902,0.98989898989899,1.0,0.9509803921568627,0.00026777808995178185,0.00030604850716186893,0.015924659219017204,0.018706357419297846
5,0.0008299350738525391,0.001410086949666341,0.98,1.0,10,3,distance,"{'weights': 'distance', 'n_neighbors': 3, 'leaf_size': 10}",10,0.9803921568627451,1.0,0.9607843137254902,1.0,1.0,1.0,0.00022510156866509777,0.0004464589047084313,0.015924659219017204,0.0
6,0.000659942626953125,0.0012420813242594402,0.9733333333333334,0.9633590810061398,10,4,uniform,"{'weights': 'uniform', 'n_neighbors': 4, 'leaf_size': 10}",43,0.9803921568627451,0.9494949494949495,0.9607843137254902,0.9797979797979798,0.9791666666666666,0.9607843137254902,0.00024530317445599294,0.00030598658977712515,0.009020673423841885,0.01250441205598303
7,0.0004737377166748047,0.0009433428446451823,0.98,1.0,10,4,distance,"{'weights': 'distance', 'n_neighbors': 4, 'leaf_size': 10}",10,0.9803921568627451,1.0,0.9607843137254902,1.0,1.0,1.0,2.827715376958401e-06,6.344901293504103e-06,0.015924659219017204,0.0
8,0.0004679361979166667,0.000885009765625,0.9866666666666667,0.9667260843731432,10,5,uniform,"{'weights': 'uniform', 'n_neighbors': 5, 'leaf_size': 10}",1,0.9803921568627451,0.9595959595959596,0.9803921568627451,0.9797979797979798,1.0,0.9607843137254902,8.778064264605253e-07,3.7596626830148286e-06,0.009146591207600491,0.009255948857633523
9,0.00048359235127766925,0.0009499390920003256,0.98,1.0,10,5,distance,"{'weights': 'distance', 'n_neighbors': 5, 'leaf_size': 10}",10,0.9803921568627451,1.0,0.9607843137254902,1.0,1.0,1.0,1.5798516901354348e-05,1.2082488630469012e-05,0.015924659219017204,0.0
10,0.000717322031656901,0.0012183189392089844,0.9733333333333334,0.9667260843731432,10,6,uniform,"{'weights': 'uniform', 'n_neighbors': 6, 'leaf_size': 10}",43,0.9803921568627451,0.9595959595959596,0.9607843137254902,0.9797979797979798,0.9791666666666666,0.9607843137254902,0.00017380014881370647,0.00010620256521007037,0.009020673423841885,0.009255948857633523
11,0.00048232078552246094,0.0009670257568359375,0.9866666666666667,1.0,10,6,distance,"{'weights': 'distance', 'n_neighbors': 6, 'leaf_size': 10}",1,0.9803921568627451,1.0,0.9803921568627451,1.0,1.0,1.0,1.1133577535057423e-05,1.070673750663398e-05,0.009146591207600491,0.0
12,0.0004679361979166667,0.0009173552195231119,0.9733333333333334,0.9733610615963557,10,7,uniform,"{'weights': 'uniform', 'n_neighbors': 7, 'leaf_size': 10}",43,0.9803921568627451,0.9595959595959596,0.9607843137254902,0.98989898989899,0.9791666666666666,0.9705882352941176,2.433998240012098e-06,1.4756721238822889e-05,0.009020673423841885,0.01252556946578696
13,0.0004753271738688151,0.0009813308715820312,0.98,1.0,10,7,distance,"{'weights': 'distance', 'n_neighbors': 7, 'leaf_size': 10}",10,0.9803921568627451,1.0,0.9607843137254902,1.0,1.0,1.0,2.8366356368978416e-06,4.0965464811489054e-05,0.015924659219017204,0.0
14,0.0004924138387044271,0.0010239283243815105,0.98,0.9700930877401466,10,8,uniform,"{'weights': 'uniform', 'n_neighbors': 8, 'leaf_size': 10}",10,0.9803921568627451,0.9696969696969697,0.9803921568627451,0.9797979797979798,0.9791666666666666,0.9607843137254902,1.6685137153722224e-05,0.00014950160949335243,0.0005716619504750275,0.007767348604130532
15,0.0004780292510986328,0.0010822614034016926,0.98,1.0,10,8,distance,"{'weights': 'distance', 'n_neighbors': 8, 'leaf_size': 10}",10,0.9803921568627451,1.0,0.9803921568627451,1.0,0.9791666666666666,1.0,4.52786112888467e-06,0.0001476842678510478,0.0005716619504750275,0.0
