,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split10_test_score,split10_train_score,split11_test_score,split11_train_score,split12_test_score,split12_train_score,split13_test_score,split13_train_score,split14_test_score,split14_train_score,split15_test_score,split15_train_score,split16_test_score,split16_train_score,split17_test_score,split17_train_score,split18_test_score,split18_train_score,split19_test_score,split19_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
224,0.007980561256408692,0.0003255009651184082,0.6731517509727627,0.7337690289635385,7,3,rbf,"{'C': 7, 'gamma': 3, 'kernel': 'rbf'}",51,0.8571428571428571,0.7160493827160493,0.6153846153846154,0.7459016393442623,0.8461538461538461,0.7418032786885246,0.5,0.7428571428571429,0.75,0.7346938775510204,0.75,0.7183673469387755,0.6666666666666666,0.7428571428571429,0.6666666666666666,0.710204081632653,0.9166666666666666,0.7183673469387755,0.8333333333333334,0.7224489795918367,0.5,0.7428571428571429,0.5,0.7283950617283951,0.8571428571428571,0.720164609053498,0.7142857142857143,0.7242798353909465,0.5714285714285714,0.7366255144032922,0.5384615384615384,0.7459016393442623,0.5384615384615384,0.7540983606557377,0.6153846153846154,0.7418032786885246,0.46153846153846156,0.7418032786885246,0.7692307692307693,0.7459016393442623,0.0014369221134269182,0.0002388524860533358,0.14042238747821187,0.01241207181524533
225,0.009306633472442627,0.0002502083778381348,0.6809338521400778,0.7409379108858684,7,4,rbf,"{'C': 7, 'gamma': 4, 'kernel': 'rbf'}",31,0.8571428571428571,0.7325102880658436,0.6153846153846154,0.7418032786885246,0.8461538461538461,0.7418032786885246,0.5,0.746938775510204,0.75,0.7428571428571429,0.75,0.726530612244898,0.6666666666666666,0.746938775510204,0.75,0.7346938775510204,0.9166666666666666,0.726530612244898,0.8333333333333334,0.7387755102040816,0.5,0.7428571428571429,0.5,0.7325102880658436,0.9285714285714286,0.7325102880658436,0.7142857142857143,0.7325102880658436,0.5714285714285714,0.7530864197530864,0.5384615384615384,0.75,0.5384615384615384,0.7581967213114754,0.6153846153846154,0.7459016393442623,0.46153846153846156,0.7459016393442623,0.7692307692307693,0.7459016393442623,0.0015207865447620192,0.00025020842838663967,0.14711030564276525,0.008441798344104103
226,0.009106385707855224,0.00027533769607543943,0.6770428015564203,0.745640145554275,7,5,rbf,"{'C': 7, 'gamma': 5, 'kernel': 'rbf'}",40,0.8571428571428571,0.7325102880658436,0.6153846153846154,0.75,0.8461538461538461,0.75,0.5,0.7591836734693878,0.75,0.7551020408163265,0.75,0.7346938775510204,0.6666666666666666,0.7428571428571429,0.75,0.7428571428571429,0.9166666666666666,0.7346938775510204,0.8333333333333334,0.7387755102040816,0.5,0.746938775510204,0.5,0.7242798353909465,0.8571428571428571,0.7325102880658436,0.7142857142857143,0.7366255144032922,0.5714285714285714,0.7530864197530864,0.5384615384615384,0.7704918032786885,0.5384615384615384,0.7581967213114754,0.6923076923076923,0.7459016393442623,0.5384615384615384,0.7540983606557377,0.6153846153846154,0.75,0.001420461419687839,0.0002490525347342268,0.13483776831230568,0.010996733704420383
227,0.008806121349334717,0.00030030012130737304,0.6770428015564203,0.7499476819669378,7,6,rbf,"{'C': 7, 'gamma': 6, 'kernel': 'rbf'}",40,0.8571428571428571,0.7489711934156379,0.6153846153846154,0.75,0.8461538461538461,0.7540983606557377,0.5,0.7591836734693878,0.75,0.7510204081632653,0.8333333333333334,0.7306122448979592,0.6666666666666666,0.746938775510204,0.6666666666666666,0.7591836734693878,0.9166666666666666,0.7387755102040816,0.8333333333333334,0.7428571428571429,0.5,0.7510204081632653,0.5,0.7325102880658436,0.8571428571428571,0.7489711934156379,0.7142857142857143,0.7407407407407407,0.5714285714285714,0.7530864197530864,0.5384615384615384,0.7663934426229508,0.5384615384615384,0.7622950819672131,0.6923076923076923,0.7540983606557377,0.5384615384615384,0.7622950819672131,0.6153846153846154,0.7459016393442623,0.0017288968947780342,0.0002451942439873345,0.13722147133030102,0.009374733762439863
228,0.00873105525970459,0.00027524232864379884,0.6653696498054474,0.7571140065012041,7,7,rbf,"{'C': 7, 'gamma': 7, 'kernel': 'rbf'}",66,0.7857142857142857,0.7489711934156379,0.6153846153846154,0.7540983606557377,0.6923076923076923,0.7704918032786885,0.5,0.7673469387755102,0.75,0.7551020408163265,0.75,0.7387755102040816,0.6666666666666666,0.7551020408163265,0.6666666666666666,0.7551020408163265,0.8333333333333334,0.7551020408163265,0.8333333333333334,0.7551020408163265,0.4166666666666667,0.7551020408163265,0.5714285714285714,0.7448559670781894,0.8571428571428571,0.7448559670781894,0.7142857142857143,0.7489711934156379,0.5714285714285714,0.7654320987654321,0.5384615384615384,0.7745901639344263,0.6153846153846154,0.7663934426229508,0.6923076923076923,0.7581967213114754,0.5384615384615384,0.7704918032786885,0.6923076923076923,0.7581967213114754,0.0013927359630508636,0.0002489660880300095,0.11552056668579985,0.009296546358374444
229,0.010081934928894042,0.00027532577514648436,0.6575875486381323,0.764889230332894,7,8,rbf,"{'C': 7, 'gamma': 8, 'kernel': 'rbf'}",84,0.7142857142857143,0.7489711934156379,0.6153846153846154,0.7540983606557377,0.6923076923076923,0.7786885245901639,0.5,0.7714285714285715,0.75,0.7673469387755102,0.75,0.7591836734693878,0.6666666666666666,0.7673469387755102,0.6666666666666666,0.7673469387755102,0.8333333333333334,0.763265306122449,0.8333333333333334,0.763265306122449,0.4166666666666667,0.763265306122449,0.5714285714285714,0.7448559670781894,0.8571428571428571,0.757201646090535,0.7142857142857143,0.7489711934156379,0.6428571428571429,0.7818930041152263,0.5384615384615384,0.7704918032786885,0.6153846153846154,0.7745901639344263,0.6153846153846154,0.7663934426229508,0.46153846153846156,0.7868852459016393,0.6923076923076923,0.7622950819672131,0.0017709009757498192,0.00024904176534512015,0.1164015113595522,0.010683755754726645
230,0.009156560897827149,0.0003250718116760254,0.6459143968871596,0.7714433306210562,7,9,rbf,"{'C': 7, 'gamma': 9, 'kernel': 'rbf'}",101,0.7142857142857143,0.7530864197530864,0.6153846153846154,0.7622950819672131,0.6923076923076923,0.7786885245901639,0.5,0.7755102040816326,0.75,0.7673469387755102,0.75,0.763265306122449,0.6666666666666666,0.763265306122449,0.6666666666666666,0.7795918367346939,0.75,0.763265306122449,0.8333333333333334,0.7755102040816326,0.4166666666666667,0.7918367346938775,0.5,0.7613168724279835,0.8571428571428571,0.7613168724279835,0.7142857142857143,0.7530864197530864,0.6428571428571429,0.7942386831275721,0.5384615384615384,0.7827868852459017,0.5384615384615384,0.7786885245901639,0.6153846153846154,0.7745901639344263,0.46153846153846156,0.7868852459016393,0.6923076923076923,0.7622950819672131,0.0014852205259509768,0.0002385376927734481,0.1180923420684976,0.011791644411671576
231,0.00908132791519165,0.0002001166343688965,0.642023346303502,0.7788170755045594,7,10,rbf,"{'C': 7, 'gamma': 10, 'kernel': 'rbf'}",107,0.7142857142857143,0.7530864197530864,0.6153846153846154,0.7704918032786885,0.6923076923076923,0.7868852459016393,0.5,0.7795918367346939,0.75,0.7714285714285715,0.75,0.7673469387755102,0.6666666666666666,0.7795918367346939,0.6666666666666666,0.7836734693877551,0.75,0.7714285714285715,0.8333333333333334,0.7755102040816326,0.4166666666666667,0.7918367346938775,0.5,0.7654320987654321,0.7857142857142857,0.7695473251028807,0.7142857142857143,0.7654320987654321,0.6428571428571429,0.7942386831275721,0.5384615384615384,0.7950819672131147,0.5384615384615384,0.7909836065573771,0.6153846153846154,0.7909836065573771,0.46153846153846156,0.7950819672131147,0.6923076923076923,0.7786885245901639,0.0014087943305237792,0.00024509187888043123,0.11209278263117294,0.011725349756118894
232,0.013459408283233642,0.00030030012130737304,0.5680933852140078,0.9989762393522476,7,100,rbf,"{'C': 7, 'gamma': 100, 'kernel': 'rbf'}",156,0.5,1.0,0.46153846153846156,1.0,0.6923076923076923,0.9959016393442623,0.5833333333333334,1.0,0.5833333333333334,1.0,0.5833333333333334,0.9959183673469387,0.5,1.0,0.75,1.0,0.75,1.0,0.75,1.0,0.5833333333333334,0.9959183673469387,0.6428571428571429,1.0,0.6428571428571429,0.9958847736625515,0.5714285714285714,1.0,0.35714285714285715,1.0,0.5384615384615384,0.9959016393442623,0.38461538461538464,1.0,0.46153846153846156,1.0,0.38461538461538464,1.0,0.6923076923076923,1.0,0.0024198612379123666,0.00024519413966374396,0.11975420897933203,0.0017732165813680784
233,0.016461479663848876,0.00035033226013183596,0.490272373540856,1.0,7,1000,rbf,"{'C': 7, 'gamma': 1000, 'kernel': 'rbf'}",324,0.5,1.0,0.5384615384615384,1.0,0.5384615384615384,1.0,0.5833333333333334,1.0,0.5,1.0,0.4166666666666667,1.0,0.4166666666666667,1.0,0.5,1.0,0.5,1.0,0.4166666666666667,1.0,0.4166666666666667,1.0,0.5,1.0,0.5,1.0,0.42857142857142855,1.0,0.5,1.0,0.46153846153846156,1.0,0.38461538461538464,1.0,0.5384615384615384,1.0,0.6153846153846154,1.0,0.5384615384615384,1.0,0.0017964841572353917,0.00022934653374949885,0.05937691595942327,0.0
