,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_covariance_type,param_max_iter,param_n_components,param_reg_covar,param_tol,params,rank_test_score,split0_test_score,split0_train_score,split10_test_score,split10_train_score,split11_test_score,split11_train_score,split12_test_score,split12_train_score,split13_test_score,split13_train_score,split14_test_score,split14_train_score,split15_test_score,split15_train_score,split16_test_score,split16_train_score,split17_test_score,split17_train_score,split18_test_score,split18_train_score,split19_test_score,split19_train_score,split1_test_score,split1_train_score,split20_test_score,split20_train_score,split21_test_score,split21_train_score,split22_test_score,split22_train_score,split23_test_score,split23_train_score,split24_test_score,split24_train_score,split25_test_score,split25_train_score,split26_test_score,split26_train_score,split27_test_score,split27_train_score,split28_test_score,split28_train_score,split29_test_score,split29_train_score,split2_test_score,split2_train_score,split30_test_score,split30_train_score,split31_test_score,split31_train_score,split32_test_score,split32_train_score,split33_test_score,split33_train_score,split34_test_score,split34_train_score,split35_test_score,split35_train_score,split36_test_score,split36_train_score,split37_test_score,split37_train_score,split38_test_score,split38_train_score,split39_test_score,split39_train_score,split3_test_score,split3_train_score,split40_test_score,split40_train_score,split41_test_score,split41_train_score,split42_test_score,split42_train_score,split43_test_score,split43_train_score,split44_test_score,split44_train_score,split45_test_score,split45_train_score,split46_test_score,split46_train_score,split47_test_score,split47_train_score,split48_test_score,split48_train_score,split49_test_score,split49_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.05416111946105957,0.0005604887008666992,-1.6270327189212728,-1.208095333829684,full,100,3,1e-06,1e-06,"{'covariance_type': 'full', 'reg_covar': 1e-06, 'n_components': 3, 'tol': 1e-06, 'max_iter': 100}",60,1.009917416852123,-1.253381167499285,-1.2659113966216808,-1.2107347709833398,-0.36204692752037776,-1.2257997679565455,-0.42208371552087404,-1.224929228402378,-1.457508944167272,-1.209704480767006,-3.777358906084357,-1.1695641921993758,0.5024618468355466,-1.24302288285372,-0.009701556941927722,-1.2336263758621158,-1.4759097343973318,-1.2044935479972456,-1.1772558025641813,-1.2097467088866984,-1.5008629517761338,-1.2042960745819933,0.5972837171058348,-1.244812712197478,-2.7506156515656066,-1.1851521233151068,-1.4144725164870995,-1.2062278353128912,-3.9091633920092406,-1.1600284517854473,-0.895874030156516,-1.2146415206593275,-1.8388710878585923,-1.1968778867051812,-1.7150058823508438,-1.2000078239847682,-1.4399549184417897,-1.3351329141399155,-0.5943342299916328,-1.2206443980097832,-2.2651095835953363,-1.1912804343008758,-2.281407002286693,-1.192342739191595,0.4381306408963736,-1.2423788166660157,-1.2865574524179249,-1.3622623280742394,-1.0651182626617546,-1.2120599516836281,-1.6194109242572026,-1.20420718632894,-1.8902331269999222,-1.1961666782125615,-1.2256443587377477,-1.207572394844545,-3.6236706232665945,-1.1629082709601537,-2.233788821659759,-1.187738058921896,-1.359012012513751,-1.2051928762308022,-2.1036521758147892,-1.190983562182292,-6.253190750701363,-1.1176137698116897,0.5009755768499918,-1.2431201048016542,-2.43062180433775,-1.1841107487796727,-1.5508049666363133,-1.2010177875598425,-1.329336853810143,-1.2057995651058913,-4.5769735444097615,-1.149614010503612,-3.0274205777429306,-1.1742788655318632,-2.645789250270878,-1.179773311843154,-1.5871270561682305,-1.2003887135433362,-2.493554038681767,-1.183231245975431,-2.458598205962012,-1.1842968971715868,-1.6586405458204025,-1.1992692745482265,-2.2377527324240147,-1.1923499981054804,-1.3314176785802092,-1.2131141108756565,-0.6557318482021861,-1.2227341722669476,-2.7865817954541967,-1.1851454230174536,-1.3696215679476456,-1.2088552216027943,0.953294061213232,-1.2521353087427638,0.01823858832281709,0.0003427378453974205,1.37867313991986,0.038691875318876676
1,0.04485546112060547,0.0005033683776855469,-1.6013332138664933,-1.202919848569146,full,100,3,1e-06,1e-05,"{'covariance_type': 'full', 'reg_covar': 1e-06, 'n_components': 3, 'tol': 1e-05, 'max_iter': 100}",35,1.009917416852123,-1.253381874653523,-1.2659113966216817,-1.2107354848974479,-0.3620469275203781,-1.2258004179299424,-0.42208371552087304,-1.2249299423145406,-1.4575089441672713,-1.2097051946781545,-3.777358906084357,-1.169564906111504,0.5024618468355466,-1.2430235328271835,-0.010148440859014377,-1.2336270948848427,-1.474267689393039,-1.2044945400861855,-1.1747360638787343,-1.2097482087164106,-1.5010892827770255,-1.2042970952998824,0.5972837171058348,-1.2448133554122214,-2.728589964613532,-1.18516816143572,-1.4144902373331538,-1.2062284788679372,-3.9090147453605155,-1.1600290831949438,-0.896733615912292,-1.2146421769447335,-1.8393784625050298,-1.1968781273526228,-1.7149539945478578,-1.2000082415151188,-0.900142387418669,-1.215985833836734,-0.5949184252298129,-1.2206449814756921,-2.2650648010421564,-1.191281716929848,-2.279414627169252,-1.1923438704753657,0.4381306408963736,-1.2423795238200148,-0.5653813684379174,-1.2225811822865034,-1.0649175550603456,-1.2120605810865253,-1.6194457722291775,-1.2042082899594,-1.8909733022494644,-1.1961673457862179,-1.2253785585700347,-1.2075730212095888,-3.6227729729893574,-1.1629092930703429,-2.2336782536483937,-1.1877396489040635,-1.3582940420750578,-1.2051946238073112,-2.103332341243126,-1.1909842720862758,-6.2545126220288125,-1.1176148245091866,0.5009755768499918,-1.2431208119555754,-2.4298780051084434,-1.184111600744838,-1.5514804573948238,-1.201018852686097,-1.3304306462576647,-1.2058001533735487,-4.577951690223924,-1.1496148828646577,-3.027347468208138,-1.1742791518271247,-2.645720806162502,-1.1797745940431303,-1.5877689638632058,-1.2003895549652202,-2.493366013816719,-1.1832320447442253,-2.4583468665909165,-1.1842975671115128,-1.658787996356834,-1.199269847147103,-2.2377527324240147,-1.1923507052593714,-1.3314176785802083,-1.2131148180297264,-0.6557318482021918,-1.2227348861789504,-2.7865817954541967,-1.1851460729903833,-1.3696215679476456,-1.2088559355150432,0.953294061213232,-1.2521360226548135,0.0042977128660498295,0.00012449726049717773,1.3890088879791957,0.026030202587359802
2,0.047094292640686035,0.0006533575057983399,-1.6009206544354748,-1.2029288445614685,full,100,3,1e-06,0.0001,"{'covariance_type': 'full', 'reg_covar': 1e-06, 'n_components': 3, 'tol': 0.0001, 'max_iter': 100}",32,1.009917416852124,-1.2533887295120791,-1.2659113966216844,-1.2107417143145691,-0.36204692752037926,-1.2258067112749573,-0.42208371552087304,-1.224936797171066,-1.4575089441672688,-1.2097114240713172,-3.7773589060843533,-1.169571135512593,0.502461846835547,-1.2430298261728483,-0.01157941300496601,-1.2336339689889495,-1.4700454899252193,-1.2045012077688926,-1.1685118184828747,-1.2097597133302538,-1.50194368984389,-1.2043072002028021,0.5972837171058323,-1.2448196487520957,-2.7043673184123196,-1.1852221375198269,-1.4146823722148714,-1.2062343464254983,-3.908802606488346,-1.1600352174120465,-0.899735990887875,-1.214649800230263,-1.8424666091466826,-1.1968828589711487,-1.7148557984868216,-1.200009501772255,-0.8984132208717494,-1.215988543712322,-0.5969056413126227,-1.2206513789654712,-2.2650727293635025,-1.191293095811171,-2.2736257236647535,-1.192353038597611,0.4381306408963775,-1.2423863786762221,-0.5653380275754518,-1.2225870967368202,-1.0639592213786566,-1.2120759436918724,-1.6198437453807433,-1.2042180484279794,-1.8933637468474742,-1.1961732880170526,-1.224038276209888,-1.2075880501343528,-3.620189185541415,-1.1629177192250038,-2.233546543288708,-1.1877519766783318,-1.3568533970101313,-1.2052073854926613,-2.101723030946772,-1.1910009941846649,-6.258407918211012,-1.117625671050488,0.5009755768499919,-1.2431276668110198,-2.4279961543233535,-1.1841175423487935,-1.5535176254225185,-1.2010277914107388,-1.3368331224206635,-1.2058155786411415,-4.583396514135866,-1.1496332258046325,-3.027030623874474,-1.1742821837149857,-2.6454667054917893,-1.1797868432069962,-1.5895374301761134,-1.200396067376355,-2.4929693850608734,-1.1832389974261928,-2.457772757033375,-1.184303358499931,-1.6592886365682684,-1.1992752921436642,-2.2377527324240165,-1.1923575601145262,-1.3314176785802057,-1.2131210474314196,-0.6557318482021884,-1.222741115579028,-2.7865817954541967,-1.1851523663308212,-1.369621567947646,-1.2088627903724136,0.9532940612132318,-1.2521422520552719,0.012542951761044453,0.0006902159588325637,1.3889035455541823,0.0260286593530035
3,0.0380418586730957,0.0005054092407226563,-1.6082088485015702,-1.2032953321290334,full,100,3,1e-06,0.001,"{'covariance_type': 'full', 'reg_covar': 1e-06, 'n_components': 3, 'tol': 0.001, 'max_iter': 100}",52,1.0099174168521206,-1.253457170342604,-1.265911396621701,-1.210810780773,-0.3620469275203779,-1.2258757775933584,-0.4220837155208727,-1.2250052379810443,-1.4575089441672582,-1.209774185147861,-3.777358906084361,-1.1696402017743415,0.5024618468355432,-1.2430988924991018,-0.016280368679419066,-1.2337009783529873,-1.4467021351872986,-1.2046564050345572,-1.147540957982007,-1.209872863016717,-1.5057484281721967,-1.2044075890152721,0.5972837171058335,-1.2448887150086383,-2.685315870183821,-1.1853465000344423,-1.4160731429079056,-1.2063041697679864,-3.9110917198735726,-1.160208834265038,-0.9080307475346364,-1.2147196918159602,-1.8466855891277012,-1.1968980835213345,-1.712797655627477,-1.2000457680417058,-0.8884563276957752,-1.2160296783514166,-0.6025511391648302,-1.220708252013603,-2.2672647992332844,-1.1914209754356073,-2.2529653430602736,-1.192450653654833,0.43813064089637344,-1.2424548194829805,-0.5671233781226441,-1.2226415043054475,-1.062806752604187,-1.2121915967736066,-1.6228581270706968,-1.2043266522576757,-2.111770734200253,-1.2030070737477043,-1.2215704187294234,-1.2077244026688538,-3.6137404465104477,-1.1629801958102604,-2.2339373472357797,-1.187859948977475,-1.3539551687988682,-1.2053182139260021,-2.0990050946912535,-1.1911261148743195,-6.45282021401438,-1.1251516095754086,0.5009755768499935,-1.2431961076100493,-2.4226235623364074,-1.1841707536540245,-1.5598517544134747,-1.201103748481465,-1.3433376833386081,-1.2058536684779444,-4.596455296373994,-1.1497668746119294,-3.0250399412462983,-1.1743321161560678,-2.6443235600246298,-1.1799083181822214,-1.5954252387853238,-1.2004633664535012,-2.492701863389318,-1.1833027505386853,-2.456988339700775,-1.1843637649816965,-1.6626510262918288,-1.1994302382378164,-2.2377527324240116,-1.1924196958088968,-1.3314176785802043,-1.2131838085958735,-0.655731848202188,-1.2228101818283186,-2.7865817954541945,-1.1852214325940924,-1.3696215679476496,-1.2089312311909335,0.9532940612132325,-1.252205013207007,0.004206908420469313,0.00011919461503307171,1.4032027550809134,0.025528816302918825
4,0.01674473285675049,0.0005165910720825195,-1.7158750519539263,-1.2644154373386483,full,100,3,1e-06,0.01,"{'covariance_type': 'full', 'reg_covar': 1e-06, 'n_components': 3, 'tol': 0.01, 'max_iter': 100}",90,1.0099174001323281,-1.3174769143861769,-1.2659119804897643,-1.2748305208623743,-0.5394800990653165,-1.3674748071470095,-0.42208369941157026,-1.2890249825117606,-1.457507660030056,-1.2680742268431706,-3.7773588811691243,-1.233659946408146,0.02354300492917803,-1.3874201946633276,-0.16193960075866354,-1.2952150202193802,-1.3301184733545253,-1.272297520978627,-1.0582387277906227,-1.2708557066932598,-1.7583867019408486,-1.2597094502111275,0.5972837479835136,-1.3031824520224928,-2.6885927226129684,-1.2433207742189183,-1.842744688621834,-1.263311295624197,-3.914679564429876,-1.1614501949492921,-0.9968683768095449,-1.2704553517354644,-1.8979594955980408,-1.2539316828533067,-1.5026477836651282,-1.2697940202130322,-0.6674598591202646,-1.279136023816487,-0.9122782050924383,-1.2735413728562486,-2.152175975889769,-1.2521938940694377,-1.3859129441434341,-1.270786244757848,0.43813066184265836,-1.3064745640714157,-1.0033543212720568,-1.2738286826485634,-1.4218338209950236,-1.270523440080426,-2.177797752084135,-1.2544185381946438,-2.426422720220806,-1.2397946068497052,-1.3440889341631788,-1.2681292674351998,-3.4477772838893315,-1.2073582996979266,-2.4094745674044695,-1.2470657490445891,-1.641378190458461,-1.2559140461097575,-2.0656380503581535,-1.2566096867550645,-6.88925275086991,-1.167013083661251,0.5009756120154365,-1.3014898446329826,-2.403315668506668,-1.232473800226299,-1.7457187838998838,-1.2497366401889687,-1.5475899440965566,-1.2203642216852792,-4.7219464407490905,-1.2020680409214735,-3.6744929925842285,-1.2383125256308893,-2.8124157553969433,-1.243225904489101,-1.489423421102752,-1.2567583634975046,-2.7196607813693645,-1.2326751077966052,-2.723600048115497,-1.2341800634086024,-1.708616597773412,-1.2609660135875087,-2.2377526967199324,-1.256445745763869,-1.3314176661317072,-1.271483850764432,-0.6557318087347263,-1.2868299267345216,-3.616229119679378,-1.3260332243058368,-1.3696215636850255,-1.272950975381904,0.9532940956550533,-1.3105050553270035,0.004640218295327093,0.00017655267048292787,1.4508319617898273,0.0396214150282893
5,0.012643513679504394,0.00047754287719726563,-1.6576038369755328,-1.2802983486348711,full,100,3,1e-06,0.1,"{'covariance_type': 'full', 'reg_covar': 1e-06, 'n_components': 3, 'tol': 0.1, 'max_iter': 100}",76,1.009917402633708,-1.3252150566210112,-1.2659118910183436,-1.2825686607784623,-0.36204699779033483,-1.2976336626965688,-0.4220837020492118,-1.2967631250314162,-1.4575071456993836,-1.2815383809625462,-3.7773588861248655,-1.2413980889825216,0.5024617630364342,-1.314856777325738,-0.1631361297640468,-1.3011109185036018,-1.3495384370602064,-1.2772346155889238,-1.138999594299705,-1.2824989573200005,-1.8041487699630068,-1.2693843032787475,0.5972837413689823,-1.316646602371654,-2.751620881346461,-1.254206306788255,-1.883310035761576,-1.2680248589071228,-2.6266124040296934,-1.2511057753888608,-1.4121990214600515,-1.4744215032196832,-1.8970600766469259,-1.2661506992721987,-1.5387551015613685,-1.2761226984407399,-0.7160325677572148,-1.2909905750482051,-0.965388319026587,-1.2840800735618436,-2.217856902499255,-1.261690657557996,-1.3886097013824006,-1.2762281873930368,0.4381306588089125,-1.314212706636463,-1.0886455889150313,-1.2846934284834302,-1.7979816639628534,-1.356763907821694,-2.27353671906237,-1.2626438941872296,-2.43057060672055,-1.253242594254847,-1.3971265644470792,-1.277661170706666,-3.2953298110711344,-1.2344779256142226,-2.434663073415519,-1.2588589934764807,-1.7595276608206027,-1.2649280331863788,-2.159382848581542,-1.2630343761381417,-5.835763709847271,-1.293188428207369,0.5009756040415679,-1.3149539950886933,-2.445889205087456,-1.2497154640170782,-1.5710441607246077,-1.2676678603073503,-1.0386027999376573,-1.2787024075036078,-4.674144238326224,-1.2174683435261449,-3.856925666852123,-1.243162337020633,-2.8490662805129343,-1.2502545068221695,-1.3843538661763546,-1.2731357289899516,-2.70833607790707,-1.2465567582455763,-2.6989764952429085,-1.2470918067910772,-1.6631059614982349,-1.2701307642932431,-2.2377527097857306,-1.2627658452488473,-1.3314176712147925,-1.2835299574223986,-0.6557318152747887,-1.2945680694665087,-2.7865817834186046,-1.256979319697364,-1.3696215626028907,-1.2806891177674802,0.9532940879807231,-1.3239692057833679,0.003473440572605202,3.042284447658543e-05,1.3501430135869668,0.03807632761898461
6,0.05139109134674072,0.0005567455291748047,-1.5963577583547532,-1.2083171409386126,full,100,3,1e-05,1e-06,"{'covariance_type': 'full', 'reg_covar': 1e-05, 'n_components': 3, 'tol': 1e-06, 'max_iter': 100}",18,1.0092951516309387,-1.253381514956154,-1.2647708192210394,-1.2107351668301654,-0.36208355450385565,-1.2258001323974226,-0.42211575495069614,-1.2249295912542102,-1.456888646729449,-1.2097048541369058,-3.773916809786106,-1.1695646117361393,0.5021838190473067,-1.2430232443157627,-0.010163133163088625,-1.233626732813477,-1.4752759059148108,-1.2044939943043074,-1.1767502867888948,-1.2097470792655212,-1.5007688201849316,-1.2042963287427584,0.5967969312006577,-1.2448130621458875,-2.748919389249657,-1.1851530845353635,-1.4146500472657333,-1.2062281639793835,-3.9070805724824154,-1.160028880558871,-0.8961238171491596,-1.2146418580585088,-1.8379681474756762,-1.1968781601768634,-1.7149981289030098,-1.200008127925971,-0.9013737464812595,-1.2159851607201617,-0.5947124684123518,-1.2206447516334844,-2.2652695317898437,-1.1912806554069393,-2.2798451442941947,-1.192343238668565,0.43767797275342507,-1.2423791770986399,-0.5656896144101428,-1.2225808557533007,-1.0647850430295234,-1.2120603490368207,-1.619387749918572,-1.2042075486528137,-1.8905171887475152,-1.1961670247827707,-1.3818248937815927,-1.3310834662771542,-3.6235472404419515,-1.1629086959868964,-2.233858647126535,-1.1877384310279562,-1.3590957348669679,-1.2051932581499134,-2.103572327543547,-1.190983954225993,-5.8353337433167205,-1.2640048199525424,0.5008558108427735,-1.243120473348588,-2.4306320684299076,-1.1841111448478296,-1.5509656193139296,-1.2010181917331457,-1.3296040504908146,-1.2057999321226012,-4.576728397728101,-1.1496144023016945,-3.027024566905537,-1.1742792514855172,-2.645647842523641,-1.1797735715553068,-1.5872357211118475,-1.2003890839655624,-2.4933958944141064,-1.1832316346503644,-2.458427509101696,-1.184297277593687,-1.658737310253576,-1.1992696496084028,-2.2374037793173986,-1.192350354760329,-1.3309313707424808,-1.2131144769613258,-0.6557947701194546,-1.2227345326828445,-2.7848763183117886,-1.1851458110852784,-1.3688119195971213,-1.2088556068045273,0.9528064430778738,-1.252135675916008,0.008746663856811937,0.00041120866303641357,1.3612429490443252,0.03009360402020748
7,0.04806554317474365,0.0005100631713867188,-1.6038583329198444,-1.2110835845074999,full,100,3,1e-05,1e-05,"{'covariance_type': 'full', 'reg_covar': 1e-05, 'n_components': 3, 'tol': 1e-05, 'max_iter': 100}",43,1.009295151630938,-1.253382335919088,-1.264770819221042,-1.2107360530708715,-0.36208355450385626,-1.2258009533606713,-0.42211575495069725,-1.2249304876379778,-1.4568886467294486,-1.209705675098659,-3.773916809786106,-1.1695655081198675,0.5021838190473067,-1.2430240652790865,-0.010614497671817139,-1.2336276306612295,-1.4736387863102023,-1.2044952025067628,-1.1743211087513024,-1.209748772791591,-1.5010450759829546,-1.2042977044654086,0.5967969312006577,-1.2448138831085354,-2.7275530076936327,-1.1851696708118107,-1.4146666836939918,-1.2062289063396285,-3.906925986159713,-1.1600297714545746,-0.8970112691378959,-1.2146426813718068,-1.8387345758259388,-1.1968785716798955,-1.7149498269148544,-1.200008587942909,-0.8999702921693736,-1.2159864325928211,-0.5953431149186762,-1.2206455657246036,-2.2652393355441274,-1.1912811875810234,-2.2779304296062475,-1.1923445988746162,0.43767797275342507,-1.2423799879161004,-0.5655583325963228,-1.2225816911986622,-1.0645858966620831,-1.2120611584155103,-1.619422347307438,-1.2042087934347,-1.8912452808447364,-1.1961678194361027,-1.2254601419410225,-1.2075735712376265,-3.6226029920316374,-1.1629100145168756,-2.233755981333621,-1.1877401220736696,-1.3587399951513799,-1.2051939798968259,-2.689158564838447,-1.3064086734384115,-6.25406039555667,-1.1176154781475531,0.7808092232310369,-1.3935155989269143,-2.429872529252652,-1.1841122047710502,-1.5515928572204238,-1.2010193402441103,-1.3307055105488335,-1.2058006799606789,-4.409582008092555,-1.2919573861208924,-3.026856273986029,-1.1742803939281445,-2.6455665087868403,-1.1797752661141003,-1.5878993292204038,-1.200390133388748,-2.493207453835667,-1.1832326227874324,-2.4581860659928334,-1.184298076731898,-1.6588899880737318,-1.1992703963365434,-2.2374037793173986,-1.1923512511439343,-1.3309313707424781,-1.2131152979240958,-0.655794770119455,-1.222735353645421,-2.7848763183117886,-1.1851466320479918,-1.3688119195971213,-1.208856493043152,0.9528064430778738,-1.2521365621544085,0.00754274721994958,0.0001653740544831361,1.3973311709236444,0.04022698165606211
8,0.03995853900909424,0.0004915332794189453,-1.6006001493455126,-1.2029298127456451,full,100,3,1e-05,0.0001,"{'covariance_type': 'full', 'reg_covar': 1e-05, 'n_components': 3, 'tol': 0.0001, 'max_iter': 100}",29,1.0092951516309385,-1.2533899161658268,-1.2647708192210423,-1.2107428878185131,-0.36208355450385654,-1.225808533610805,-0.42211575495069575,-1.2249373223689564,-1.4568886467294462,-1.2097132553326404,-3.7739168097861064,-1.1695723428505416,0.5021838190473072,-1.2430309754364843,-0.012060315641747513,-1.2336351685423919,-1.4694146532907784,-1.2045024776282842,-1.1676093602375148,-1.2097622307924163,-1.501974998362405,-1.2043097580878646,0.5967969312006571,-1.2448214633521835,-2.7042500094434097,-1.1852224882710807,-1.4148667049005095,-1.2062354550737369,-3.9067350890578436,-1.1600364583456972,-0.9000383639783668,-1.2146509629636237,-1.8418502532730443,-1.1968838390370218,-1.714845412309547,-1.2000100295248397,-0.8984133324189826,-1.2159890485127702,-0.5973102208096229,-1.220652537677495,-2.2652353993730956,-1.1912959105824708,-2.271660810234289,-1.192355725621177,0.43767797275342796,-1.2423868980678296,-0.565515449682475,-1.2225876846193457,-1.063637846901086,-1.2120777887241265,-1.619838712513604,-1.2042195212931261,-1.893718647680559,-1.196174503125128,-1.2241171381919145,-1.207589742075789,-3.620065823341698,-1.1629190037696278,-2.233620949677769,-1.1877536074780506,-1.356904375340726,-1.205209486851333,-2.1018271007699143,-1.1909992160098004,-6.25662397189839,-1.1176216643897943,0.5008558108427731,-1.2431288644093563,-2.427870935838018,-1.184119298055114,-1.553705029253214,-1.2010291898531966,-1.3337466306725998,-1.2058058521607997,-4.583188769800622,-1.149634928570473,-3.026564610413287,-1.1742841297222812,-2.6453309403016356,-1.1797871709648402,-1.5896791403513955,-1.2003972282447601,-2.492811112491304,-1.1832402468056509,-2.4575998412449125,-1.1843045614132242,-1.6593979028529382,-1.1992764281989023,-2.237403779317402,-1.1923587559659934,-1.3309313707424775,-1.2131228781690566,-0.6557947701194531,-1.2227422637960352,-2.7848763183117846,-1.1851535421998418,-1.3688119195971236,-1.2088639978675568,0.9528064430778725,-1.2521433968844178,0.0047386567830597845,8.419592382721577e-05,1.3884513383914463,0.026028953051431252
9,0.04192605495452881,0.0005953216552734375,-1.6103266864424024,-1.205771058670733,full,100,3,1e-05,0.001,"{'covariance_type': 'full', 'reg_covar': 1e-05, 'n_components': 3, 'tol': 0.001, 'max_iter': 100}",55,1.009295151630936,-1.253461283523031,-1.2647708192210503,-1.210808393149002,-0.36208355450385316,-1.225873368726574,-0.4221157549506951,-1.2250093597974663,-1.4568886467294353,-1.20977809031723,-3.773916809786115,-1.1696378480104457,0.5021838190473024,-1.2431030129281238,-0.01681109123057567,-1.233705271312487,-1.4459760892511593,-1.2046629468057704,-1.1468193989829567,-1.2098786586225418,-1.5058041397974264,-1.2044138367061095,0.5967969312006584,-1.2448862984152804,-2.684700019957388,-1.185351647681592,-1.4162905504280594,-1.2063087962673023,-3.9090994413366986,-1.1602144333471933,-0.9083940445162834,-1.214723716302739,-1.8461095577212259,-1.1969000196320398,-1.712736449772222,-1.200047925042467,-0.8889023018191166,-1.216028256141575,-0.6030133610196144,-1.2207121217431014,-2.2672129584001435,-1.1914137261566349,-2.25125822245523,-1.1924564021275266,0.4376779727534286,-1.2424589354929496,-0.5673707459398306,-1.2226453287227539,-1.06251919753502,-1.2121979309417772,-1.6227095104059908,-1.2043240075927284,-2.1125274882947545,-1.2030259060234625,-1.2217805005514177,-1.2077164621993663,-3.613601026468018,-1.1629836964610794,-2.362797392555379,-1.3118864451868735,-1.354037983913388,-1.205324175207409,-2.098921618594669,-1.1911317836840798,-6.429741837763255,-1.1246270354100554,0.5008558108427758,-1.243200231734011,-2.422603721735275,-1.1841740618810437,-1.5601027183834415,-1.201108373653949,-1.3525711041042878,-1.205952172467939,-4.597298129363566,-1.1497886595729405,-3.0246054181350672,-1.1743360560145577,-2.64424908686358,-1.179901817194411,-1.5956030553966147,-1.20046714946143,-2.4925576878274303,-1.1833068752404652,-2.4568338442549855,-1.1843684185082837,-1.6627970126196434,-1.1994369489839407,-2.2374037793173938,-1.1924301232876229,-1.3309313707424733,-1.2131942455090212,-0.6557947701194494,-1.22281430120816,-2.7848763183117877,-1.1852255796263869,-1.368811919597125,-1.208935365212334,0.9528064430778765,-1.252215434301379,0.00779100884398351,0.0005308654872121178,1.4025403424742855,0.029636293981309163
